Year,Age,Location,Sex,Value
2006,ALLAGE,ALLAREA,MALE,0.4683
2006,ALLAGE,ALLAREA,FEMALE,0.63661
2006,65+,ALLAREA,BOTHSEX,1.52261
2006,<15Y,ALLAREA,BOTHSEX,0.51615
2006,15-64,ALLAREA,BOTHSEX,0.37278
2006,ALLAGE,ALLAREA,BOTHSEX,0.5
2007,<15Y,ALLAREA,BOTHSEX,0.55758
2007,15-64,ALLAREA,BOTHSEX,0.56274
2007,65+,ALLAREA,BOTHSEX,0.5976
2007,ALLAGE,ALLAREA,FEMALE,0.51897
2007,ALLAGE,ALLAREA,MALE,0.61466
2007,ALLAGE,ALLAREA,BOTHSEX,0.4
2008,<15Y,ALLAREA,BOTHSEX,0.13377
2008,15-64,ALLAREA,BOTHSEX,0.10189
2008,65+,ALLAREA,BOTHSEX,0.22069
2008,ALLAGE,ALLAREA,BOTHSEX,0.1
2008,ALLAGE,ALLAREA,MALE,0.09742
2008,ALLAGE,URBAN,BOTHSEX,0.12312
2008,ALLAGE,ALLAREA,FEMALE,0.14879
2009,ALLAGE,ALLAREA,MALE,0.75865
2009,<15Y,ALLAREA,BOTHSEX,0.44896
2009,15-64,ALLAREA,BOTHSEX,0.65397
2009,65+,ALLAREA,BOTHSEX,0.92832
2009,ALLAGE,ALLAREA,FEMALE,0.56926
2009,ALLAGE,URBAN,BOTHSEX,0.66387
2009,ALLAGE,ALLAREA,BOTHSEX,0.4
2010,ALLAGE,ALLAREA,BOTHSEX,0.2
2010,<15Y,ALLAREA,BOTHSEX,0.39083
2010,15-64,ALLAREA,BOTHSEX,0.36188
2010,65+,ALLAREA,BOTHSEX,0.23031
2010,ALLAGE,ALLAREA,FEMALE,0.435
2010,ALLAGE,ALLAREA,MALE,0.25555
2010,ALLAGE,URBAN,BOTHSEX,0.34551
2011,<15Y,ALLAREA,BOTHSEX,0
2011,15-64,ALLAREA,BOTHSEX,0.25867
2011,65+,ALLAREA,BOTHSEX,0.48479
2011,ALLAGE,ALLAREA,BOTHSEX,0.2
2011,ALLAGE,ALLAREA,MALE,0.25417
2011,ALLAGE,URBAN,BOTHSEX,0.25877
2011,ALLAGE,ALLAREA,FEMALE,0.26334
2012,<15Y,ALLAREA,BOTHSEX,0
2012,15-64,ALLAREA,BOTHSEX,0.19058
2012,65+,ALLAREA,BOTHSEX,0.33393
2012,ALLAGE,ALLAREA,FEMALE,0.15318
2012,ALLAGE,ALLAREA,MALE,0.22172
2012,ALLAGE,URBAN,BOTHSEX,0.18739
2012,ALLAGE,ALLAREA,BOTHSEX,0.1
2013,ALLAGE,ALLAREA,BOTHSEX,0
2013,ALLAGE,ALLAREA,MALE,0.07135
2013,15-64,ALLAREA,BOTHSEX,0.08646
2013,65+,ALLAREA,BOTHSEX,0
2013,ALLAGE,ALLAREA,FEMALE,0.04726
2013,ALLAGE,URBAN,BOTHSEX,0.05931
2013,<15Y,ALLAREA,BOTHSEX,0
2014,<15Y,ALLAREA,BOTHSEX,0
2014,15-64,ALLAREA,BOTHSEX,0.04328
2014,ALLAGE,ALLAREA,BOTHSEX,0
2014,ALLAGE,ALLAREA,MALE,0.0587
2014,65+,ALLAREA,BOTHSEX,0.06491
2014,ALLAGE,ALLAREA,FEMALE,0.02357
2014,ALLAGE,URBAN,BOTHSEX,0.04119
2015,<15Y,ALLAREA,BOTHSEX,0.06967
2015,15-64,ALLAREA,BOTHSEX,0.14074
2015,65+,ALLAREA,BOTHSEX,0.02036
2015,ALLAGE,ALLAREA,FEMALE,0.1003
2015,ALLAGE,ALLAREA,MALE,0.11653
2015,ALLAGE,URBAN,BOTHSEX,0.10846
2015,ALLAGE,ALLAREA,BOTHSEX,0.1
2016,ALLAGE,ALLAREA,BOTHSEX,0.1
2016,65+,ALLAREA,BOTHSEX,0.09219
2016,ALLAGE,ALLAREA,FEMALE,0.06425
2016,<15Y,ALLAREA,BOTHSEX,0.09953
2016,ALLAGE,URBAN,BOTHSEX,0.14013
2016,ALLAGE,ALLAREA,MALE,0.21448
2016,15-64,ALLAREA,BOTHSEX,0.16151
2017,<15Y,ALLAREA,BOTHSEX,0
2017,15-64,ALLAREA,BOTHSEX,0.22781
2017,65+,ALLAREA,BOTHSEX,0.02953
2017,ALLAGE,URBAN,BOTHSEX,0.15989
2017,ALLAGE,ALLAREA,FEMALE,0.15324
2017,ALLAGE,ALLAREA,MALE,0.16634
2017,ALLAGE,ALLAREA,BOTHSEX,0.2
2018,ALLAGE,ALLAREA,BOTHSEX,0.1
2018,<15Y,ALLAREA,BOTHSEX,0
2018,15-64,ALLAREA,BOTHSEX,0.22741
2018,65+,ALLAREA,BOTHSEX,0.15955
2018,ALLAGE,ALLAREA,FEMALE,0.1095
2018,ALLAGE,ALLAREA,MALE,0.25454
2018,ALLAGE,URBAN,BOTHSEX,0.18375
2019,65+,ALLAREA,BOTHSEX,0.34974
2019,ALLAGE,ALLAREA,FEMALE,0.2019
2019,ALLAGE,URBAN,BOTHSEX,0.34974
2019,ALLAGE,ALLAREA,MALE,0.48748
2019,ALLAGE,ALLAREA,BOTHSEX,0.3
