Year,Series,Type of product,Value
2020,"Indicator of Food Price Anomalies (IFPA), by type of product",Rice,1.0
2020,"Indicator of Food Price Anomalies (IFPA), by type of product",Flour,-0.5
2021,"Indicator of Food Price Anomalies (IFPA), by type of product",Rice,-0.3
2021,"Indicator of Food Price Anomalies (IFPA), by type of product",Flour,0.1
2022,"Indicator of Food Price Anomalies (IFPA), by type of product",Rice,0.4
2022,"Indicator of Food Price Anomalies (IFPA), by type of product",Flour,0.3
2023,"Indicator of Food Price Anomalies (IFPA), by type of product",Rice,0.4
2023,"Indicator of Food Price Anomalies (IFPA), by type of product",Flour,0.3
2010,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index",,-0.9
2011,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index",,-0.49
2012,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index",,-0.2
2013,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index",,0.36
2014,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index",,-0.53
2015,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index",,-0.07
2016,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index",,0.13
2017,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index",,-0.04
2018,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index",,0.19
2019,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index",,-0.2
2020,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index",,-0.24
2021,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index",,-0.27
2022,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index",,1.42
