Year,Value,Series
2010,1.27,Agriculture value added share of GDP (%)
2011,0.99,Agriculture value added share of GDP (%)
2012,1.06,Agriculture value added share of GDP (%)
2013,1.07,Agriculture value added share of GDP (%)
2014,1.0,Agriculture value added share of GDP (%)
2015,0.92,Agriculture value added share of GDP (%)
2016,0.93,Agriculture value added share of GDP (%)
2017,0.67,Agriculture value added share of GDP (%)
2018,0.65,Agriculture value added share of GDP (%)
2019,0.47,Agriculture value added share of GDP (%)
2020,0.77,Agriculture value added share of GDP (%)
2021,0.89,Agriculture value added share of GDP (%)
2010,1.36,Agriculture orientation index for government expenditures
2011,1.52,Agriculture orientation index for government expenditures
2012,1.36,Agriculture orientation index for government expenditures
2013,1.25,Agriculture orientation index for government expenditures
2014,1.17,Agriculture orientation index for government expenditures
2015,1.43,Agriculture orientation index for government expenditures
2016,1.35,Agriculture orientation index for government expenditures
2017,1.62,Agriculture orientation index for government expenditures
2018,2.01,Agriculture orientation index for government expenditures
2019,2.2,Agriculture orientation index for government expenditures
2020,1.21,Agriculture orientation index for government expenditures
2021,1.04,Agriculture orientation index for government expenditures
2010,1.72,Agriculture share of Government Expenditure (%)
2011,1.51,Agriculture share of Government Expenditure (%)
2012,1.44,Agriculture share of Government Expenditure (%)
2013,1.34,Agriculture share of Government Expenditure (%)
2014,1.18,Agriculture share of Government Expenditure (%)
2015,1.32,Agriculture share of Government Expenditure (%)
2016,1.25,Agriculture share of Government Expenditure (%)
2017,1.08,Agriculture share of Government Expenditure (%)
2018,1.31,Agriculture share of Government Expenditure (%)
2019,1.02,Agriculture share of Government Expenditure (%)
2020,0.93,Agriculture share of Government Expenditure (%)
2021,0.92,Agriculture share of Government Expenditure (%)
